speaker,gender,school,speechStyle,segment,previous_segment,following_segment,word,segment_duration,word_duration,start_point_segment,end_point_segment,start_point_word,end_point_word,extraction_param,intensity_mean,pitch_mean,f1,f2
2944,Female,JannaliGirlsHighSchool,WordList,FLEECE,b,t,bi:t,0.3,0.4,0.47,0.77,0.43,0.83,1,74.68514142,310.4826529,1122.25677,1929.646676
2944,Female,JannaliGirlsHighSchool,WordList,FLEECE,b,t,bi:t,0.3,0.4,0.47,0.77,0.43,0.83,2,74.68514142,310.4826529,487.2996769,1203.124759
2944,Female,JannaliGirlsHighSchool,WordList,FLEECE,b,t,bi:t,0.3,0.4,0.47,0.77,0.43,0.83,3,74.68514142,310.4826529,364.5862707,1478.090841
2944,Female,JannaliGirlsHighSchool,WordList,FLEECE,b,t,bi:t,0.3,0.4,0.47,0.77,0.43,0.83,4,74.68514142,310.4826529,343.8724008,1753.791041
2944,Female,JannaliGirlsHighSchool,WordList,FLEECE,b,t,bi:t,0.3,0.4,0.47,0.77,0.43,0.83,5,74.68514142,310.4826529,352.4334332,1845.138987
2944,Female,JannaliGirlsHighSchool,WordList,GOOSE,b,t,b}:t,0.3,0.87,1.08,1.38,0.83,1.7,1,75.06717747,238.7337661,443.0956295,1777.452248
2944,Female,JannaliGirlsHighSchool,WordList,GOOSE,b,t,b}:t,0.3,0.87,1.08,1.38,0.83,1.7,2,75.06717747,238.7337661,469.6515322,1715.288457
2944,Female,JannaliGirlsHighSchool,WordList,GOOSE,b,t,b}:t,0.3,0.87,1.08,1.38,0.83,1.7,3,75.06717747,238.7337661,464.0806721,2034.965974
2944,Female,JannaliGirlsHighSchool,WordList,GOOSE,b,t,b}:t,0.3,0.87,1.08,1.38,0.83,1.7,4,75.06717747,238.7337661,372.9437791,2077.554252
2944,Female,JannaliGirlsHighSchool,WordList,GOOSE,b,t,b}:t,0.3,0.87,1.08,1.38,0.83,1.7,5,75.06717747,238.7337661,412.5208372,2015.038317
2944,Female,JannaliGirlsHighSchool,WordList,SCHWA,t,<p:>,b}:t,0.06,0.87,1.64,1.7,0.83,1.7,1,59.12572635,0,894.45577,1438.53728
2944,Female,JannaliGirlsHighSchool,WordList,SCHWA,t,<p:>,b}:t,0.06,0.87,1.64,1.7,0.83,1.7,2,59.12572635,0,1104.764921,1546.213505
2944,Female,JannaliGirlsHighSchool,WordList,SCHWA,t,<p:>,b}:t,0.06,0.87,1.64,1.7,0.83,1.7,3,59.12572635,0,921.3612554,1361.358438
2944,Female,JannaliGirlsHighSchool,WordList,SCHWA,t,<p:>,b}:t,0.06,0.87,1.64,1.7,0.83,1.7,4,59.12572635,0,585.315377,1412.584096
2944,Female,JannaliGirlsHighSchool,WordList,SCHWA,t,<p:>,b}:t,0.06,0.87,1.64,1.7,0.83,1.7,5,59.12572635,0,1200.505561,1615.543744
2944,Female,JannaliGirlsHighSchool,WordList,FACE,s,<p:>,s{I,0.51,0.54,1.78,2.29,1.75,2.29,1,72.82403893,244.8927577,542.0793365,1702.144682
2944,Female,JannaliGirlsHighSchool,WordList,FACE,s,<p:>,s{I,0.51,0.54,1.78,2.29,1.75,2.29,2,72.82403893,244.8927577,837.7942337,869.0205876
2944,Female,JannaliGirlsHighSchool,WordList,FACE,s,<p:>,s{I,0.51,0.54,1.78,2.29,1.75,2.29,3,72.82403893,244.8927577,629.634156,1182.910229
2944,Female,JannaliGirlsHighSchool,WordList,FACE,s,<p:>,s{I,0.51,0.54,1.78,2.29,1.75,2.29,4,72.82403893,244.8927577,517.6529914,2083.376317
2944,Female,JannaliGirlsHighSchool,WordList,FACE,s,<p:>,s{I,0.51,0.54,1.78,2.29,1.75,2.29,5,72.82403893,244.8927577,444.6929867,1593.873906
2944,Female,JannaliGirlsHighSchool,WordList,GOAT,s,<p:>,s@},0.47,0.5,2.5,2.97,2.47,2.97,1,70.83758427,213.0426334,542.5242925,1704.22676
2944,Female,JannaliGirlsHighSchool,WordList,GOAT,s,<p:>,s@},0.47,0.5,2.5,2.97,2.47,2.97,2,70.83758427,213.0426334,737.5254233,1236.619695
2944,Female,JannaliGirlsHighSchool,WordList,GOAT,s,<p:>,s@},0.47,0.5,2.5,2.97,2.47,2.97,3,70.83758427,213.0426334,591.1799503,1695.004923
2944,Female,JannaliGirlsHighSchool,WordList,GOAT,s,<p:>,s@},0.47,0.5,2.5,2.97,2.47,2.97,4,70.83758427,213.0426334,540.3522651,1430.170643
2944,Female,JannaliGirlsHighSchool,WordList,GOAT,s,<p:>,s@},0.47,0.5,2.5,2.97,2.47,2.97,5,70.83758427,213.0426334,437.3630955,1243.787527
2944,Female,JannaliGirlsHighSchool,WordList,PRICE,h,h,hAe,0.34,0.43,3.31,3.65,3.22,3.65,1,72.57799339,214.5332311,851.2993163,1292.705042
2944,Female,JannaliGirlsHighSchool,WordList,PRICE,h,h,hAe,0.34,0.43,3.31,3.65,3.22,3.65,2,72.57799339,214.5332311,859.1352077,1330.407948
2944,Female,JannaliGirlsHighSchool,WordList,PRICE,h,h,hAe,0.34,0.43,3.31,3.65,3.22,3.65,3,72.57799339,214.5332311,826.9038408,1316.840842
2944,Female,JannaliGirlsHighSchool,WordList,PRICE,h,h,hAe,0.34,0.43,3.31,3.65,3.22,3.65,4,72.57799339,214.5332311,834.2976645,1462.104666
2944,Female,JannaliGirlsHighSchool,WordList,PRICE,h,h,hAe,0.34,0.43,3.31,3.65,3.22,3.65,5,72.57799339,214.5332311,812.0995073,826.7180503
2944,Female,JannaliGirlsHighSchool,WordList,MOUTH,h,<p:>,h{O,0.39,0.61,3.87,4.26,3.65,4.26,1,68.11175274,171.314679,754.8903021,1910.917512
2944,Female,JannaliGirlsHighSchool,WordList,MOUTH,h,<p:>,h{O,0.39,0.61,3.87,4.26,3.65,4.26,2,68.11175274,171.314679,815.8648998,1952.428517
2944,Female,JannaliGirlsHighSchool,WordList,MOUTH,h,<p:>,h{O,0.39,0.61,3.87,4.26,3.65,4.26,3,68.11175274,171.314679,748.7457568,1535.438421
2944,Female,JannaliGirlsHighSchool,WordList,MOUTH,h,<p:>,h{O,0.39,0.61,3.87,4.26,3.65,4.26,4,68.11175274,171.314679,716.2050599,1516.391101
2944,Female,JannaliGirlsHighSchool,WordList,MOUTH,h,<p:>,h{O,0.39,0.61,3.87,4.26,3.65,4.26,5,68.11175274,171.314679,717.6572495,1454.846127
2944,Female,JannaliGirlsHighSchool,Phrase,DRESS,l,t,lets,0.09,0.29,0.43,0.52,0.37,0.66,1,76.67963213,296.0333574,453.1173208,1127.589459
2944,Female,JannaliGirlsHighSchool,Phrase,DRESS,l,t,lets,0.09,0.29,0.43,0.52,0.37,0.66,2,76.67963213,296.0333574,552.0052706,1444.357244
2944,Female,JannaliGirlsHighSchool,Phrase,DRESS,l,t,lets,0.09,0.29,0.43,0.52,0.37,0.66,3,76.67963213,296.0333574,573.2704435,1337.712212
2944,Female,JannaliGirlsHighSchool,Phrase,DRESS,l,t,lets,0.09,0.29,0.43,0.52,0.37,0.66,4,76.67963213,296.0333574,583.9669613,1376.341925
2944,Female,JannaliGirlsHighSchool,Phrase,DRESS,l,t,lets,0.09,0.29,0.43,0.52,0.37,0.66,5,76.67963213,296.0333574,546.5425031,1956.4082
2944,Female,JannaliGirlsHighSchool,Phrase,KIT,p,k,pIk,0.05,0.25,0.78,0.83,0.66,0.91,1,72.59133089,291.4562456,404.9397499,2000.55269
2944,Female,JannaliGirlsHighSchool,Phrase,KIT,p,k,pIk,0.05,0.25,0.78,0.83,0.66,0.91,2,72.59133089,291.4562456,331.9423018,1893.803517
2944,Female,JannaliGirlsHighSchool,Phrase,KIT,p,k,pIk,0.05,0.25,0.78,0.83,0.66,0.91,3,72.59133089,291.4562456,335.117995,1578.532559
2944,Female,JannaliGirlsHighSchool,Phrase,KIT,p,k,pIk,0.05,0.25,0.78,0.83,0.66,0.91,4,72.59133089,291.4562456,331.9925661,1537.607223
2944,Female,JannaliGirlsHighSchool,Phrase,KIT,p,k,pIk,0.05,0.25,0.78,0.83,0.66,0.91,5,72.59133089,291.4562456,333.548515,2298.237366
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,k,g,@,0.05,0.05,0.91,0.96,0.91,0.96,1,71.97256277,245.5238884,393.6207899,1803.113296
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,k,g,@,0.05,0.05,0.91,0.96,0.91,0.96,2,71.97256277,245.5238884,464.2402457,1897.576434
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,k,g,@,0.05,0.05,0.91,0.96,0.91,0.96,3,71.97256277,245.5238884,467.6061278,1857.878013
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,k,g,@,0.05,0.05,0.91,0.96,0.91,0.96,4,71.97256277,245.5238884,455.350077,1720.391161
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,k,g,@,0.05,0.05,0.91,0.96,0.91,0.96,5,71.97256277,245.5238884,450.1592583,1703.282783
2944,Female,JannaliGirlsHighSchool,Phrase,FOOT,g,d,gUd,0.09,0.32,1.07,1.16,0.96,1.28,1,73.98132683,276.7752923,352.4171044,1229.735246
2944,Female,JannaliGirlsHighSchool,Phrase,FOOT,g,d,gUd,0.09,0.32,1.07,1.16,0.96,1.28,2,73.98132683,276.7752923,467.883707,1299.068979
2944,Female,JannaliGirlsHighSchool,Phrase,FOOT,g,d,gUd,0.09,0.32,1.07,1.16,0.96,1.28,3,73.98132683,276.7752923,480.1121048,1362.29937
2944,Female,JannaliGirlsHighSchool,Phrase,FOOT,g,d,gUd,0.09,0.32,1.07,1.16,0.96,1.28,4,73.98132683,276.7752923,479.1653597,1417.048489
2944,Female,JannaliGirlsHighSchool,Phrase,FOOT,g,d,gUd,0.09,0.32,1.07,1.16,0.96,1.28,5,73.98132683,276.7752923,436.9792764,1466.402999
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,d,<p:>,gUd,0.05,0.32,1.23,1.28,0.96,1.28,1,58.38978933,273.1538707,414.2069691,1441.52161
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,d,<p:>,gUd,0.05,0.32,1.23,1.28,0.96,1.28,2,58.38978933,273.1538707,276.3996615,1523.604728
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,d,<p:>,gUd,0.05,0.32,1.23,1.28,0.96,1.28,3,58.38978933,273.1538707,488.1450388,1569.785353
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,d,<p:>,gUd,0.05,0.32,1.23,1.28,0.96,1.28,4,58.38978933,273.1538707,350.3584565,1535.12821
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,d,<p:>,gUd,0.05,0.32,1.23,1.28,0.96,1.28,5,58.38978933,273.1538707,521.4083764,1586.820968
2944,Female,JannaliGirlsHighSchool,Phrase,LOT,p,t,spOt,0.21,0.36,1.47,1.68,1.39,1.75,1,72.29392007,222.9107528,553.0751423,1443.646327
2944,Female,JannaliGirlsHighSchool,Phrase,LOT,p,t,spOt,0.21,0.36,1.47,1.68,1.39,1.75,2,72.29392007,222.9107528,713.0107575,1196.456944
2944,Female,JannaliGirlsHighSchool,Phrase,LOT,p,t,spOt,0.21,0.36,1.47,1.68,1.39,1.75,3,72.29392007,222.9107528,777.9076484,1423.819243
2944,Female,JannaliGirlsHighSchool,Phrase,LOT,p,t,spOt,0.21,0.36,1.47,1.68,1.39,1.75,4,72.29392007,222.9107528,648.1028367,1533.323073
2944,Female,JannaliGirlsHighSchool,Phrase,LOT,p,t,spOt,0.21,0.36,1.47,1.68,1.39,1.75,5,72.29392007,222.9107528,651.6762509,1354.539656
2944,Female,JannaliGirlsHighSchool,Phrase,NEAR,n,D,nI@,0.11,0.15,1.79,1.9,1.75,1.9,1,75.11635236,249.4781599,459.8013501,964.3774834
2944,Female,JannaliGirlsHighSchool,Phrase,NEAR,n,D,nI@,0.11,0.15,1.79,1.9,1.75,1.9,2,75.11635236,249.4781599,484.7048276,560.6046988
2944,Female,JannaliGirlsHighSchool,Phrase,NEAR,n,D,nI@,0.11,0.15,1.79,1.9,1.75,1.9,3,75.11635236,249.4781599,486.1492854,2477.612471
2944,Female,JannaliGirlsHighSchool,Phrase,NEAR,n,D,nI@,0.11,0.15,1.79,1.9,1.75,1.9,4,75.11635236,249.4781599,486.0327013,2145.376014
2944,Female,JannaliGirlsHighSchool,Phrase,NEAR,n,D,nI@,0.11,0.15,1.79,1.9,1.75,1.9,5,75.11635236,249.4781599,481.5368288,1874.921881
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,D,w,D@,0.04,0.1,1.96,2,1.9,2,1,77.77120361,255.6861547,502.6840514,1606.787978
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,D,w,D@,0.04,0.1,1.96,2,1.9,2,2,77.77120361,255.6861547,506.6718336,1581.471866
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,D,w,D@,0.04,0.1,1.96,2,1.9,2,3,77.77120361,255.6861547,506.195964,1548.475985
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,D,w,D@,0.04,0.1,1.96,2,1.9,2,4,77.77120361,255.6861547,504.9292687,1520.443508
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,D,w,D@,0.04,0.1,1.96,2,1.9,2,5,77.77120361,255.6861547,502.7533266,1501.03482
2944,Female,JannaliGirlsHighSchool,Phrase,THOUGHT,w,t,wo:t@,0.2,0.52,2.09,2.29,2,2.52,1,72.24357613,205.3675406,414.3882165,1032.815589
2944,Female,JannaliGirlsHighSchool,Phrase,THOUGHT,w,t,wo:t@,0.2,0.52,2.09,2.29,2,2.52,2,72.24357613,205.3675406,434.3006271,1006.258507
2944,Female,JannaliGirlsHighSchool,Phrase,THOUGHT,w,t,wo:t@,0.2,0.52,2.09,2.29,2,2.52,3,72.24357613,205.3675406,464.4790293,928.6026948
